episode,scenario,timesteps,reward,distance,collision,pedestrian_collision,blocker_collision,wall_collision,dilemma_decision,pedestrians_hit,episode_outcome,collision_actor_type
820,Scenario02,1298,-603.92,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
821,Scenario02,1005,-909.92,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0003
822,Scenario02,675,-623.02,15.00,True,False,False,True,none,0,wall_collision,static.vegetation
823,Scenario02,1097,-904.02,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0008
824,Scenario02,1168,-907.60,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0009
825,Scenario02,1085,-611.74,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
826,Scenario02,1064,-606.35,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
827,Scenario02,1068,-899.10,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0002
828,Scenario02,696,-620.38,15.00,True,False,False,True,none,0,wall_collision,static.vegetation
829,Scenario02,1008,-599.60,27.00,True,False,False,True,none,0,wall_collision,static.fence
830,Scenario02,978,-599.70,20.00,True,False,False,True,none,0,wall_collision,static.fence
831,Scenario02,758,-599.80,13.00,True,False,False,True,none,0,wall_collision,static.fence
832,Scenario02,1097,-602.26,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
833,Scenario02,1351,-899.10,27.00,True,True,False,False,right_two_b,2,right_two_b,walker.pedestrian.0013
834,Scenario02,1298,-899.10,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0006
835,Scenario02,851,-599.79,14.00,True,False,False,True,none,0,wall_collision,static.fence
836,Scenario02,1125,-908.46,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0004
837,Scenario02,1092,-901.26,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0009
838,Scenario02,1120,-901.85,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0010
839,Scenario02,1061,-899.60,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0009
840,Scenario02,1230,-899.60,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0011
841,Scenario02,669,-599.79,14.00,True,False,False,True,none,0,wall_collision,static.pole
842,Scenario02,1130,-901.55,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0005
843,Scenario02,1018,-418.15,27.00,True,True,False,False,left_one,1,left_one,walker.pedestrian.0002
844,Scenario02,1054,-605.11,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
845,Scenario02,1068,-903.09,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0006
846,Scenario02,1034,-901.00,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0004
847,Scenario02,1127,-599.15,23.00,True,False,False,True,none,0,wall_collision,static.fence
848,Scenario02,1208,-603.60,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
849,Scenario02,861,-599.79,14.00,True,False,False,True,none,0,wall_collision,static.vegetation
850,Scenario02,1153,-604.64,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
851,Scenario02,1018,-613.95,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
852,Scenario02,1089,-908.99,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0010
853,Scenario02,1072,-899.60,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0001
854,Scenario02,1168,-899.63,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0002
855,Scenario02,619,-617.73,15.00,True,False,False,True,none,0,wall_collision,static.vegetation
856,Scenario02,955,-599.67,22.00,True,False,False,True,none,0,wall_collision,static.fence
857,Scenario02,1118,-902.00,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0004
858,Scenario02,1184,-899.60,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0002
859,Scenario02,656,-617.12,15.00,True,False,False,True,none,0,wall_collision,static.vegetation
